id,lemma,raw,sentiment,intensity
[10000],heck fridge landlord door angry,heck fridge landlord door angry,0,0.938
[10001],driver word vehicle disgusted,driver word vehicle disgusted,0,0.8959999999999999
[10002],parcel pick store address fuming poorcustomerservice,parcel pick store address fuming poorcustomerservice,0,0.8959999999999999
[10003],butt wipe fire alarm asleep angry upset tired sad tired hangry,butt wipe fire alarm asleep angry upset tired sad tired hangry,0,0.8959999999999999
[10004],phone talk rude money acc,phone talk rude money acc,0,0.8959999999999999
[10005],blood boiling,blood boiling,0,0.875
[10006],whole season stupid cunt work kirstyga oldcunt,whole season stupid cunt work KirstyGA oldcunt,0,0.875
[10007],bt_uk tracking show equipment service week,bt_uk tracking show equipment service weeks,0,0.875
[10008],legit furious people fucking idiot,legit furious people fucking idiots,0,0.875
[10009],suppose work dude thank,suppose work dude Thanks,0,0.875
[10010],mad power ranger furious,mad power rangers furious,0,0.667
[10011],mothercareuk guy right fuming,mothercareuk guys right fuming,0,0.8540000000000001
[10012],bitch inspire big cunt man kind,Bitches inspires biggest cunt man kind,0,0.8540000000000001
[10013],dapperlaugh night appearance age,dapperlaughs night appearance ages,0,0.938
[10014],fuming,fuming,0,0.8540000000000001
[10015],help customer service buck callback anger loathing,help customer service buck callbacks anger loathing,0,0.8540000000000001
[10016],guy stop ppl front blood boiling,guy stops ppl front blood boiling,0,0.8540000000000001
[10017],lawn mower soul fiery pit,lawn mower soul fiery pits,0,0.833
[10018],people photo shoot,people photo shoot,0,0.833
[10019],storm aware damn rain damn,storm aware damn rain damn,0,0.812
[10020],buddy bitch revenge,buddy Bitch revenge,0,0.812
[10021],true team juz team insult,true team juz team insult,0,0.8909999999999999
[10022],response irate customer carrierfault,RESPONSE irate customer carrierfault,0,0.812
[10023],taser taser sick rage murder,Tasers taser sick rage murder,0,0.812
[10024],way blood little bastard,way blood little bastards,0,0.792
[10025],,,0,0.792
[10026],straight people straight guy fine angry fuming,straight people straight guys fine angry fuming,0,0.792
[10027],bloody parking ticket fuming,Bloody parking ticket fuming,0,0.792
[10028],people irritate,people irritate,0,0.792
[10029],angry people sign road,angry people sign road,0,0.792
[10030],fuck good,fuck good,0,0.792
[10031],vodafoneuk bill hav text prove swine,VodafoneUK bill hav text prove swines,0,0.792
[10032],whole season season alliance,whole season season alliance,0,0.792
[10033],update power furious,update power furious,0,0.792
[10034],bringyouhome2 fit rage,bringyouhome2 fit rage,0,0.792
[10035],unbelievable minute barclaysuk fault call hang,Unbelievable minutes BarclaysUK fault call hangs,0,0.792
[10036],fucking idiot world middle tantrum,fucking idiots World middle tantrums,0,0.792
[10037],sunandbeachbum people,SunandBeachBum people,0,0.792
[10038],party party vengeful hell resentment,party party vengeful hell resentment,0,0.792
[10039],angry order month order card n disappointing,angry order months order Card n disappointing,0,0.7709999999999999
[10040],,,0,0.9
[10041],helpful promising stuff,helpful promising stuff,0,0.7709999999999999
[10042],house ya_boi_huck hand rage,HOUSE Ya_Boi_Huck HANDS rage,0,0.7709999999999999
[10043],butt wipe fire alarm asleep upset tired sad tired hangry,butt wipe fire alarm asleep upset tired sad tired hangry,0,0.7709999999999999
[10044],dapperlaugh night appearance age,dapperlaughs night appearance ages,0,0.733
[10045],furious,furious,0,0.7709999999999999
[10046],mexican lady outta lil preschool fucking,Mexican ladies outta lil preschool fucking,0,0.7709999999999999
[10047],,,0,0.7709999999999999
[10048],whole season season alliance,whole season season alliance,0,0.7709999999999999
[10049],People soul,People soul,0,0.7709999999999999
[10050],angry,angry,0,0.75
[10051],People irritate,People irritate,0,0.75
[10052],cruel cruel man therewillbeblood revenge,cruel cruel man therewillbeblood revenge,0,0.84
[10053],way angry blood boiling,way angry blood boiling,0,0.75
[10054],amount greedy mooching,amount greedy mooching,0,0.75
[10055],mind end,mind end,0,0.75
[10056],woman prebooked taxi,woman prebooked taxi,0,0.75
[10057],hateful bitter fag,hateful bitter fag,0,0.75
[10058],fitnessfirstau people machine machine time angry notfair whypay,FitnessFirstAU people machines machines time angry notfair whypay,0,0.75
[10059],people grudge reason,people grudge reason,0,0.75
[10060],will uncontrollable animal link comment fuming,wills uncontrollable animals link comments fuming,0,0.75
[10061],bad news order phone furious,bad news order phone furious,0,0.8440000000000001
[10062],angry,angry,0,0.75
[10063],,,0,0.75
[10064],butter furious,butter furious,0,0.75
[10065],black people human being cantsleep angry,Black people human beings cantsleep angry,0,0.885
[10066],mom phone furious,mom phone furious,0,0.75
[10067],thing naay brother filling gap,thing naay brother filling gaps,0,0.75
[10068],angry,angry,0,0.75
[10069],couple niggas revenge coach,couple niggas revenge coach,0,0.875
[10070],poor packaging seller furious,poor packaging seller furious,0,0.75
[10071],outrage black man black man street,outrage black man black man streets,0,0.75
[10072],irate abusive stop strawman,irate abusive stop strawmen,0,0.75
[10073],car,car,0,0.75
[10074],fuck,fuck,0,0.5529999999999999
[10075],heck fridge landlord door mad,heck fridge landlord door mad,0,0.7290000000000001
[10076],people littlest shit,people littlest shit,0,0.7290000000000001
[10077],fuck lunch dinner money furious hangry,fuck lunch dinner money furious hangry,0,0.7290000000000001
[10078],person season angry,person season angry,0,0.7290000000000001
[10079],fuck lunch dinner money,fuck lunch dinner money,0,0.7290000000000001
[10080],bus unreliable e ticket app unable bus late work useless reply,buses unreliable e ticket app unable buses late work useless reply,0,0.8640000000000001
[10081],driver word vehicle,driver word vehicle,0,0.7290000000000001
[10082],liberal outrage king word white yuppie progressive fuck shame black,liberal outrage king word white yuppie progressives fuck shame blacks,0,0.863
[10083],chicken panerabread dollar customer angry,chicken panerabread dollars customer angry,0,0.7290000000000001
[10084],excuse hell,excuse hell,0,0.7290000000000001
[10085],manutd year absolute joke joke,ManUtd years absolute joke joke,0,0.873
[10086],buzzing food angry coopuk coopukfood,buzzing food angry coopuk coopukfood,0,0.5379999999999999
[10087],taser taser sick murder,Tasers taser sick murder,0,0.7290000000000001
[10088],true team juz team juz,true team juz team juz,0,0.7290000000000001
[10089],coupon goal raging,coupon goal raging,0,0.7290000000000001
[10090],personal revenge foul,personal revenge foul,0,0.7290000000000001
